step,loss,moving_avg
0,0.38957473635673523,0.38957473635673523
1,0.37650415301322937,0.3830394446849823
2,0.36689531803131104,0.37765806913375854
3,0.3599051237106323,0.373219832777977
4,0.35471564531326294,0.3695189952850342
5,0.35105979442596436,0.3664424618085225
6,0.3483257293701172,0.3638543571744646
7,0.3461620807647705,0.36164282262325287
8,0.34365296363830566,0.35964394940270317
9,0.3413439989089966,0.3578139543533325
10,0.33956819772720337,0.3561552492055026
11,0.338445246219635,0.354679415623347
12,0.3375433683395386,0.3533612581399771
13,0.33627280592918396,0.35214065441063475
14,0.3351133465766907,0.35100550055503843
15,0.3341822028160095,0.34995404444634914
16,0.3332445025444031,0.3489711302168229
17,0.3321560025215149,0.34803695645597243
18,0.33115822076797485,0.34714860194607783
19,0.32963961362838745,0.3462731525301933
20,0.3276810646057129,0.34538781500997995
21,0.32628870010375977,0.3445196734233336
22,0.32493025064468384,0.34366795938947925
23,0.3236742615699768,0.342834888647
24,0.32260942459106445,0.3420258700847626
25,0.3216475248336792,0.34124208757510555
26,0.32079604268074036,0.340484826653092
27,0.32015830278396606,0.3397588793720518
28,0.319633424282074,0.33906489816205254
29,0.3191738724708557,0.338401863972346
30,0.31854504346847534,0.33776132137544695
31,0.31511837244033813,0.3370537292212248
32,0.3131486773490906,0.336329333709948
33,0.3123125433921814,0.33562295752413135
34,0.31096985936164856,0.33491858329091756
35,0.30925410985946655,0.334205681251155
36,0.308275043964386,0.33350485321637746
37,0.3074309825897217,0.3328186987262023
38,0.3067651093006134,0.3321506579717
39,0.3036300837993622,0.3314376436173916
40,0.29818376898765564,0.3306265735044712
41,0.29463955760002136,0.3297697397924605
42,0.2873005270957947,0.3287820836832357
43,0.25624924898147583,0.3271336101672866
44,0.17092186212539673,0.32366223798857796
45,0.1543979048728943,0.3199825785730196
46,0.14376847445964813,0.3162333423152883
47,0.1393509805202484,0.31254829311122495
48,0.1357412487268448,0.3089399860829723
49,0.13397881388664246,0.30544076263904574
50,0.13359829783439636,0.3020713025448369
51,0.13321393728256226,0.2988240455205624
52,0.1324613392353058,0.2956851265340481
53,0.1317279040813446,0.29264888167381287
54,0.1309371143579483,0.28970866772261533
55,0.1302943378686905,0.2868619832609381
56,0.12977413833141327,0.28410605615691137
57,0.1293681263923645,0.2814381608161433
58,0.12900517880916595,0.27885455095161826
59,0.12864670157432556,0.27635108679533005
60,0.12830007076263428,0.2739240209587285
61,0.12799568474292755,0.27157033811653813
62,0.1277608722448349,0.2692876481820667
63,0.127550408244133,0.26707300380803645
64,0.12738344073295593,0.2649239336068814
65,0.1272542029619217,0.26283802859710925
66,0.1271512508392334,0.26081285280967825
67,0.12706847488880157,0.25884602372260657
68,0.12699724733829498,0.25693517189094983
69,0.12693652510643005,0.2550780483654567
70,0.1268826127052307,0.2532724788491155
71,0.12683244049549103,0.25151636720531517
72,0.12678198516368866,0.2498076770403614
73,0.12672683596611023,0.24814442243124987
74,0.1266634166240692,0.24652467568715414
75,0.12659196555614471,0.24494661371174611
76,0.12651905417442322,0.24340859345801466
77,0.12644743919372559,0.24190909148026735
78,0.1263829618692398,0.2404467354092417
79,0.12631693482398987,0.23902011290192604
80,0.12625759840011597,0.23762798309326172
81,0.1262049674987793,0.23626916582991436
82,0.12615421414375305,0.23494247966502085
83,0.12610533833503723,0.23364679941109248
84,0.12605777382850647,0.23238104616894442
85,0.1260126233100891,0.23114420404267866
86,0.12596987187862396,0.22993530367297688
87,0.12592929601669312,0.2287534172223373
88,0.12588918209075928,0.22759763929951057
89,0.12584978342056274,0.22646710756752225
90,0.12581093609333038,0.22536099579308058
91,0.12577342987060547,0.224278522250445
92,0.1257372498512268,0.22321893867625986
93,0.1257026344537735,0.22218153118453127
94,0.12566930055618286,0.22116561296739076
95,0.125637024641037,0.2201705235056579
96,0.1256052404642105,0.21919562368048834
97,0.12557435035705566,0.21824030456494312
98,0.12554536759853363,0.21730399207033294
99,0.12552055716514587,0.21638615772128106
100,0.1255003958940506,0.2137454143166542
101,0.1254805475473404,0.2112351782619953
102,0.1254604607820511,0.20882082968950272
103,0.12544047832489014,0.2064761832356453
104,0.1254204660654068,0.20418323144316675
105,0.12540048360824585,0.20192663833498956
106,0.12538091838359833,0.19969719022512436
107,0.1253620833158493,0.19748919025063516
108,0.12534360587596893,0.19530609667301177
109,0.12532378733158112,0.19314589455723763
110,0.12530353665351868,0.19100324794650078
111,0.12528342008590698,0.1888716296851635
112,0.12526248395442963,0.18674882084131242
113,0.12524008750915527,0.18463849365711213
114,0.1252153515815735,0.18253951370716096
115,0.12518920004367828,0.18044958367943764
116,0.12516307830810547,0.17836876943707466
117,0.12513703107833862,0.1762985797226429
118,0.12511205673217773,0.17423811808228493
119,0.12508812546730042,0.17219260320067406
120,0.12506501376628876,0.17016644269227982
121,0.1250426471233368,0.1681539821624756
122,0.12502102553844452,0.1661548899114132
