step,loss,moving_avg,loss_target_1,loss_target_2,loss_target_3
0,2.808363437652588,2.808363437652588,0.322490394115448,1.2250049114227295,1.2608680725097656
1,2.678049087524414,2.743206262588501,0.2796848714351654,1.1713671684265137,1.226996898651123
2,2.519965171813965,2.6687925656636557,0.24797751009464264,1.0864005088806152,1.1855870485305786
3,2.437091112136841,2.610867202281952,0.23529520630836487,1.0513248443603516,1.1504709720611572
4,2.319338321685791,2.5525614261627196,0.20983704924583435,0.9978172183036804,1.1116840839385986
5,2.2029850482940674,2.4942986965179443,0.1903458833694458,0.937554657459259,1.0750844478607178
6,2.1068949699401855,2.438955307006836,0.17358914017677307,0.8809190988540649,1.05238676071167
7,1.9829219579696655,2.3819511383771896,0.15293440222740173,0.8355885148048401,0.9943990707397461
8,1.872564435005188,2.3253526157803006,0.13620880246162415,0.7816650867462158,0.9546904563903809
9,1.7566475868225098,2.2684821128845214,0.12101756036281586,0.7290027141571045,0.9066272974014282
10,1.7076809406280518,2.217500188133933,0.11453121900558472,0.7017319202423096,0.8914177417755127
11,1.5754122734069824,2.1639928619066873,0.09797024726867676,0.6427288055419922,0.8347132802009583
12,1.4870187044143677,2.1119179267149706,0.09199704229831696,0.6000012159347534,0.7950204610824585
13,1.4256222248077393,2.062896805150168,0.07925543189048767,0.574883222579956,0.7714834213256836
14,1.3550567626953125,2.0157074689865113,0.07191383838653564,0.5366619825363159,0.7464810013771057
15,1.286407470703125,1.9701262190937996,0.06727126240730286,0.5068918466567993,0.7122442722320557
16,1.2238849401474,1.9262296732734232,0.06212298199534416,0.475217342376709,0.6865445375442505
17,1.1635544300079346,1.8838588264253404,0.055648043751716614,0.4519888758659363,0.6559175252914429
18,1.1262810230255127,1.8439863104569285,0.049568288028240204,0.4355620741844177,0.6411505937576294
19,1.0706748962402344,1.8053207397460938,0.04479878395795822,0.41621607542037964,0.6096599698066711
20,0.9923769235610962,1.76660912945157,0.0417034886777401,0.3782792091369629,0.5723941922187805
21,0.91733717918396,1.7280058589848606,0.035823144018650055,0.33853501081466675,0.5429790019989014
22,0.8851824998855591,1.6913613651109778,0.03240295127034187,0.32741403579711914,0.5253654718399048
23,0.8403933048248291,1.655904362599055,0.028062473982572556,0.30861154198646545,0.5037192702293396
24,0.7673495411872864,1.6203621697425843,0.024602586403489113,0.2762511968612671,0.4664958119392395
25,0.7406004667282104,1.5865251811651082,0.02464788220822811,0.2680438160896301,0.44790878891944885
26,0.7113164663314819,1.5541100435786777,0.021388772875070572,0.2546519339084625,0.4352757930755615
27,0.6796199083328247,1.522878253034183,0.020166583359241486,0.24163195490837097,0.41782134771347046
28,0.6293285489082336,1.4920661942712192,0.016825610771775246,0.22274655103683472,0.38975638151168823
29,0.6218529939651489,1.46305908759435,0.01686110347509384,0.21962395310401917,0.3853679597377777
30,0.5639275908470154,1.434054845763791,0.01509793009608984,0.19956371188163757,0.3492659330368042
31,0.5393779277801514,1.4060961920768023,0.01314541045576334,0.1874944269657135,0.3387380838394165
32,0.5207018852233887,1.3792660615660928,0.012301240116357803,0.17659419775009155,0.331806480884552
33,0.5093216896057129,1.3536794623907875,0.011578572914004326,0.17443159222602844,0.3233115077018738
34,0.46487778425216675,1.328285128729684,0.011848099529743195,0.16176199913024902,0.2912676930427551
35,0.4521610140800476,1.303948347767194,0.01048264093697071,0.16103795170783997,0.2806404232978821
36,0.4283943772315979,1.2802847269419078,0.010995442047715187,0.15051762759685516,0.2668813467025757
37,0.406887948513031,1.2573006011937793,0.008610482327640057,0.13849622011184692,0.25978124141693115
38,0.42134323716163635,1.235865796987827,0.009687636978924274,0.14225107431411743,0.2694045305252075
39,0.41198962926864624,1.2152688927948474,0.009281424805521965,0.14253750443458557,0.26017069816589355
40,0.3894132971763611,1.1951260733895186,0.008180944249033928,0.13187932968139648,0.24935302138328552
41,0.4037027359008789,1.17628266059217,0.00793070625513792,0.13647741079330444,0.25929462909698486
42,0.3848530054092407,1.1578773197739622,0.007994108833372593,0.13148589432239532,0.24537299573421478
43,0.384225070476532,1.1402943141081117,0.007339197676628828,0.130686417222023,0.24619945883750916
