step,loss,moving_avg,loss_target_1,loss_target_2,loss_target_3
0,0.6887657642364502,0.6887657642364502,0.1868807077407837,0.31315746903419495,0.18872761726379395
1,0.6868361234664917,0.687800943851471,0.18693238496780396,0.3128086030483246,0.18709515035152435
2,0.6846857666969299,0.6867625514666239,0.18665990233421326,0.31246915459632874,0.18555673956871033
3,0.6842146515846252,0.6861255764961243,0.18638062477111816,0.3115790784358978,0.18625494837760925
4,0.6797833442687988,0.6848571300506592,0.18625110387802124,0.3096276819705963,0.18390455842018127
5,0.6787595152854919,0.6838408609231313,0.1860049068927765,0.3110281825065613,0.18172641098499298
6,0.6797769069671631,0.6832602960722787,0.18624292314052582,0.31073421239852905,0.18279975652694702
7,0.6756650805473328,0.6823108941316605,0.18524229526519775,0.3088499903678894,0.181572824716568
8,0.6744123697280884,0.6814332803090414,0.18575024604797363,0.3080596327781677,0.18060247600078583
9,0.6758863925933838,0.6808785915374755,0.18550318479537964,0.3090144991874695,0.18136875331401825
10,0.6738231182098389,0.6802371848713268,0.18592555820941925,0.30758947134017944,0.18030810356140137
11,0.665163516998291,0.6789810458819071,0.18519310653209686,0.30345243215560913,0.17651793360710144
12,0.6683686971664429,0.678164711365333,0.1852145493030548,0.3058898448944092,0.1772642880678177
13,0.6604562997817993,0.676899824823652,0.18403597176074982,0.30167698860168457,0.17474326491355896
14,0.6604652404785156,0.6758041858673096,0.18512289226055145,0.30165523290634155,0.17368711531162262
15,0.6562365293502808,0.6745812073349953,0.18380378186702728,0.3018665313720703,0.17056620121002197
16,0.6586456298828125,0.6736438204260433,0.18383553624153137,0.3016902804374695,0.17311981320381165
17,0.6543039679527283,0.6725693841775259,0.1840876042842865,0.2995049059391022,0.17071141302585602
18,0.649172306060791,0.6713379590134871,0.18381336331367493,0.29703375697135925,0.16832520067691803
19,0.6508616209030151,0.6703141421079636,0.18372705578804016,0.29818451404571533,0.16895002126693726
20,0.6549590229988098,0.6695829459599086,0.18436871469020844,0.2989703416824341,0.17162001132965088
21,0.6480634808540344,0.6686047884550962,0.18348494172096252,0.2964133024215698,0.16816526651382446
22,0.6444720029830933,0.6675555369128352,0.1833316683769226,0.29459089040756226,0.1665494590997696
23,0.6455849409103394,0.6666400954127312,0.18356576561927795,0.29472389817237854,0.16729524731636047
24,0.6394772529602051,0.6655535817146301,0.18249517679214478,0.2922305464744568,0.1647515594959259
25,0.6423212289810181,0.6646600296864142,0.18314407765865326,0.2945905923843384,0.16458657383918762
26,0.6336644887924194,0.6635120466903404,0.18220263719558716,0.2903578281402588,0.1611039638519287
27,0.6305781602859497,0.6623358364616122,0.1826569139957428,0.28808581829071045,0.15983539819717407
28,0.6218264102935791,0.6609389596971972,0.18179522454738617,0.28541696071624756,0.15461425483226776
29,0.6239715814590454,0.6597067137559255,0.1818443387746811,0.2859417498111725,0.15618547797203064
30,0.6265426278114319,0.6586369045319096,0.18118837475776672,0.28752467036247253,0.15782959759235382
